afrikaan afrikaans
al al als
aquat aquatic aquatics
aragoné aragonés
associ associated
asturianu asturianu
azərbaycanca azərbaycanca
bahasa bahasa
becker becker
bis bis
bnf bnf
bokmål bokmål
bosanski bosanski
britannica britannica
bân bân
català català
cc cc
christian christian
common commons
creativ creative
dansk dansk
dello dello
der der
des des
deutsch deutsch
ed eds
eesti eesti
ein eines
enciclopedia enciclopedia
england england
english english
español español
esperanto esperanto
et et
euskara euskara
footbal football
foundat foundation
françai français
gaeilg gaeilge
galego galego
geschicht geschichte
gnd gnd
großbritannien großbritannien
grundzüg grundzüge
gàidhlig gàidhlig
gí gí
hannov hannover
hrvatski hrvatski
https https
ido ido
inc inc
index index
indonesia indonesia
interlingua interlingua
italiano italiano
jahrhundert jahrhundert
jawa jawa
kam kam
kulturtransf kulturtransfers
kurdî kurdî
latina latina
latviešu latviešu
lccn lccn
lietuvių lietuvių
ligur ligure
limburg limburgs
lâm lâm
lëtzebuergesch lëtzebuergesch
magyar magyar
melayu melayu
nach nach
ndl ndl
nederland nederlands
nkc nkc
norddeutschland norddeutschland
norsk norsk
occitan occitan
oldid oldid
org org
oʻzbekcha oʻzbekcha
page pages
papiamentu papiamentu
pdf pdf
ph ph
philipp philipps
php php
plattdüütsch plattdüütsch
polo polo
polski polski
portuguê português
qr qr
rezept rezeption
română română
ru ru
sa sa
sardu sardu
sh sh
shqip shqip
simpl simple
slovenčina slovenčina
slovenščina slovenščina
sport sport
srpski srpski
srpskohrvatski srpskohrvatski
suomi suomi
svenska svenska
tagalog tagalog
tatarça tatarça
th th
titl title
tiếng tiếng
tolışi tolışi
türkçe türkçe
und und
url url
việt việt
vom vom
wasserbal wasserballs
water water
waterpolo waterpolo
wikimedia wikimedia
wikipedia wikipedia
wolfgang wolfgang
world world
xix xix
zum zum
zwischen zwischen
ænglisc ænglisc
íslenska íslenska
čeština čeština
ελληνικά ελληνικά
аббревиатура аббревиатура аббревиатуры
австралийка австралийки
австралийский австралийский австралийской
авторство авторства
айсшток айсшток
академический академическая
александр александр
алексей алексей
алфавит алфавиту
альпинизм альпинизм
американка американки
американский американский американском
англ англ
атака атаки
атаковать атаковать
атлетика атлетика
атм атм
атрибут атрибутов
аут аут аута
бадминтон бадминтон
байдарка байдарках
бак баку
баркалов баркалов
баскетбол баскетбол
баскский баскская
бассейн бассейна бассейнах
батут батуте
башҡортса башҡортса
бейсбол бейсбол
беларуская беларуская
белый белого белый
биатлон биатлон
библиографический библиографических
близ близ
близкий ближе
бобслей бобслей
бокс бокс
больший большая
борьба борьба борьбе
брейкинг брейкинг
бронза бронзу
броский броски броском бросок
будо будо
буква букв
булгаков булгаковой
български български
ватерпо ватерпо
ватерполист ватерполистом
вбрасывание вбрасывания
введение введения
век век века
великобритания великобритании
велоспорт велоспорт
венгр венгр
венгрия венгрии
вернуться вернуться
версия версии версия
вести ведя
весьма весьма
вещество веществом
взять взять
вид видов виды
викиданных викиданных
викимедиа викимедиа
викиновости викиновости
википедии википедии
википедия википедия
викисклад викисклад
викискладе викискладе
вклад вклад
включить включен включено
владение владение
владеть владеет владеющего
внешний внешние
вновь вновь
внутри внутри
вод воде воду
вода водой
водный водно водного водное водном водному водные водных
водоем водоёмах
водонепроницаемый водонепроницаемый
воды воды
воздух воздуху
воздушный воздушную
возможно возможно
войти войти вошло
волейбол волейбол
ворот ворот ворота воротам
впервые впервые
вратарский вратарской
вратарь вратари вратарь вратаря
временить времени
время время
всеять всей
вслед вслед
второй второй
вуз вузов
выиграть выиграл
выпрыгнуть выпрыгнуть
высокий высокой
высота высота высоте высотой
выступать выступают
гандбол гандбол
гимнастика гимнастика
глима глима
глубина глубина глубине
глубокий глубокая
год год года годах году
голова голов головы
гольф гольф
гонка гонки
горнолыжный горнолыжный
город городе
грамм грамм
граница границ границы
гребля гребля
грубость грубости
грубый грубой грубую
гэльский гэльский
давление давление давления
датский датская
двоеборье двоеборье
де де
дежа дежё
действие действия
действовать действовать действуя
держать держать
дзюдо дзюдо
длина длина
дно дна
дное дное
долгушин долгушин
должен должен должна должно должны
дополнительный дополнительное дополнительные
доставаться доставались
доступный доступен
друг друг друга
дьярмати дьярмати
дюйм дюйм
евгения евгений
европейка европейки
европейский европейским европейских
естественный естественных
женский женских женское женской
женщина женщин
жесткий жёсткая
жир жиром
забить забить
забросить забросить
завоевать завоевали
заглавный заглавная
задача задача
закрываться закрывающимся
зало зал
замена замены
запасной запасные запасными запасных
запись запись
запретить запрещено
запрещаться запрещается
зарегистрировать зарегистрированный
застегнуть застегнуты
защищать защищают
заявление заявление
зимний зимние
знак знак
знаменитый знаменитый
значение значения
золото золото
игра игр игра играх игре игру игры
играть играть играют
играющий играющий играющих
игровой игрового игровой игровые
игрок игрок игрока игроками игроки игроков игроком игроку
избранный избранные
изобрести изобретено
иллюстрировать иллюстрированный
иметь имеет иметь имеют имеющий
инвентарь инвентарь
инструмент инструменты
исключение исключением
исключить исключённые
использование использование использования
использовать использованы
истечение истечении
история история
источник источник
кабан кабанов
каждый каждая каждого каждой
камера камеру
канадка канадки
канат каната
каноэ каноэ
карат карате
касание касании касания
касаться касается
каталанский каталанская
каталог каталогах
катание катание
категория категории категория
квадах квадах
квадратный квадратный
керлинг кёрлинг
китайский китайская
китаянка китаянки
код код
кодекс кодекс
количество количество
команда команд команда команде команды
командный командная командные
коми коми
конец конца
конный конный
контактный контактная
контрастировать контрастирующего
контрольный контрольный
конфиденциальность конфиденциальности
конькобежный конькобежный
координация координации
короткий короткий
корфбол корфбол
который которая которые который которых
кпа кпа
край край
красный красного
крикет крикет
крокет крокет
круглый круглым
кругосвет кругосвет
кудрявцев кудрявцев кудрявцева
кук куки
легкий лёгкая
лететь летит
летний летние летних
линия линией линии линиями
литература литература
литовский литовская
лицевой лицевые лицевыми
лицензия лицензии
ло ло
лодердейл лодердейл
лука лука
лыжа лыжах лыжи
лыжный лыжное лыжные
любительский любительских
лякросс лякросс
майами майами
македонский македонски
максимальный максимальное
марка марка
марья марий
масса масса
материал материал
матч матчей
медаль медалей
медиафайлы медиафайлы
международный международная международных
мелкий мелкая
менее менее
место места
минимальный минимальная
минск минск
минута минут
минутный минутных
мир мир мира
михайл михайлов
многие многих
мобильный мобильная
момент моменты
