afrikaan afrikaans
alemannisch alemannisch
amauri amaury
aragoné aragonés
archiv archives
arpetan arpetan
aso aso
associ associated
asturianu asturianu
auto auto
azərbaycanca azərbaycanca
bahasa bahasa
blanc blanc
boarisch boarisch
bokmål bokmål
bosanski bosanski
brezhoneg brezhoneg
britannica britannica
café café
català català
cc cc
cite cite
classement classement
com com
combativité combativité
combiné combiné
common commons
cours course
creativ creative
cycl cycling
cymraeg cymraeg
dansk dansk
de de
deadlink deadlink
des des
desgrang desgrange
deutsch deutsch
dossard dossard
du du
départ départs
eesti eesti
english english
español español
esperanto esperanto
eurosport eurosport
euskara euskara
facebook facebook
foundat foundation
fr fr
franc france
françai français
frysk frysk
føroyskt føroyskt
gaeilg gaeilge
galego galego
gnd gnd
grand grand grands
group group
géo géo
henri henri
hrvatski hrvatski
https https
ido ido
inc inc
index index
indonesia indonesia
instagram instagram
interlingu interlingue
intermédiair intermédiaires
isbn isbn
italiano italiano
jaun jaune
jawa jawa
jeun jeune
journal journal
kel kel
kernowek kernowek
kiswahili kiswahili
la la
latina latina
latviešu latviešu
lccn lccn
le le
lefèvr lefèvre
lenta lenta
letour letour
lietuvių lietuvių
limburg limburgs
lëtzebuergesch lëtzebuergesch
madrid madrid
magyar magyar
maillot maillot
meilleur meilleur
melayu melayu
minangkabau minangkabau
montagn montagne
ndl ndl
nederland nederlands
nedersaksi nedersaksies
nkc nkc
norsk norsk
nynorsk nynorsk
occitan occitan
oldid oldid
org org
organis organisation
page pages
par par
parc parc
parisien parisien
pdf pdf
petit petit
philipp philippe
php php
picard picard
piemontèi piemontèis
plattdüütsch plattdüütsch
pna pna
poi pois
point points
polski polski
portuguê português
princ princes
prix prix
protour protour
pwn pwn
qr qr
rank ranking
reveal revealed
ripoarisch ripoarisch
română română
roug rouge rouges
ru ru
sa sa
shqip shqip
sicilianu sicilianu
simpl simple
slovenčina slovenčina
slovenščina slovenščina
société société
soundtrack soundtracks
sport sport
sprint sprints
srpski srpski
srpskohrvatski srpskohrvatski
sudoc sudoc
suomi suomi
svenska svenska
tatarça tatarça
titl title
tiếng tiếng
tour tour
ttt ttt
türkçe türkçe
uci uci
universali universalis
url url
uwt uwt
velohack velohack
vepsän vepsän
vert vert
viaf viaf
việt việt
vlam vlams
vèneto vèneto
walon walon
web web
webcit webcitation
west west
wikimedia wikimedia
wikipedia wikipedia
world world
worldcat worldcat
worldvelosport worldvelosport
youtub youtube
édition éditions
équip équipe équipes
íslenska íslenska
čeština čeština
ελληνικά ελληνικά
аба абу
австралийский австралийски
авторство авторства
агрессивный агрессивному
администратор администратору
адриатико адриатико
аймар аймар
актив активы
акционер акционером
альберт альберт
амстел амстел
аналогичный аналогично
англ англ
андер андер
анкетиль анкетиль
анри анри
армстронг армстронг
архив архив
архивировать архивировано
астурийской астурийской
атаковать атакующий
аудио аудио
баамонтес баамонтес
бартали бартали
басков басков
бастонь бастонь
беларуская беларуская
белый белой белую
бельгия бельгии
берет берёт
берналь берналь
бернар бернар
библиографический библиографических
библиотека библиотека
бинкбанк бинкбанк
близлежащий близлежащем
боб бобе
боев боевой
больший большая большим
большой наибольший
бордо бордо
борьба борьбу
боттеккья боттеккья
брест брест
бретань бретань
бретон бретон
български български
бьянке бьянке
бюссе бюссе
валковяк валковяк
валонь валонь
валя вале
ван ван
ваттенфаль ваттенфаль
вевельгем вевельгем
велогонка велогонка велогонках велогонки велогонкой велогонку
велогонщик велогонщика велогонщики велогонщиков
велосипедный велосипедная велосипедным
велоспорт велоспорт велоспорта
версия версия
весить весь
вести ведут вести
видео видео
викиданных викиданных
викимедиа викимедиа
викиновости викиновости
википедии википедии
википедия википедия
викисклад викисклад
викискладе викискладе
виктор виктора виктору
вингегор вингегор
вклад вклад
включать включая
владелец владельцем владельцы
внешний внешние
возложить возложил
возможно возможно
возраст возрасте
война войны
войти войти
волшебный волшебные
впервые впервые
вплоть вплоть
временить времени
время время времён
всеять всей
второе второго
второй второй
вуэльта вуэльта
входить входит
выиграть выиграв выиграть
выигрыш выигрыш
вырасти выросло
высокий высшей
выходить выходить
газета газета газетой газету газеты
гамбург гамбурга
гарный гарен
гарригу гарригу
генеральный генеральная генеральной
гент гент
германий германии
глава глава главе
главное главным
главный главный
год год года годам годов году годы лет
годде годде
годдет годдет
годдета годдета
голд голд
голь голь
гонка гонка гонке гонки гонкой гонок
гонщик гонщик гонщиков гонщику
гора горы
горный горная горной горные горный горным горных
гороховый гороховой
горошек горошком
государство государством
гран гран
гранд гранд
граф граф
грег грег
грейта грейт
гуанси гуанси
даби даби
дакар дакар
дата дата
датский датская
даун даун
дварс дварс
де де
дегранж дегранж
дегранжа дегранжа
дегранжем дегранжем
действовать действовать
делиться делится
дельгадо дельгадо
денежный денежные
денис денис
десгранджом десгранджом
деть день
дефре дефре
джимонди джимонди
джиро джиро
ди ди
дион дион
директор директор директора директором
дисциплина дисциплина
длина длина
длинный длинная
длиться длится
дневной дневная
доверяться доверяется
догнать догнал
документальный документальном
должен должен
доля долю
дом дом
допинг допинг
дополнительный дополнительные
дора дор
дорогой дорогой
достигнуть достигнут
достижение достижением
доступный доступен
дофин дофине
дочерний дочерней
дух дух
ежегодно ежегодно
ежедневный ежедневная ежедневные
елисейский елисейских
жак жак жака
жан жан
желтый жёлтая жёлтой жёлтую жёлтые жёлтый
жео жео
журналист журналисту
заглавный заглавная
закончить закончить
заменить заменить
