afrikaan afrikaans
aragoné aragonés
archaiologikon archaiologikon
associ associated
asturianu asturianu
azərbaycanca azərbaycanca
bahasa bahasa
bali bali
basa basa
birley birley
bnf bnf
boarisch boarisch
bokmål bokmål
bosanski bosanski
britain britain
britannica britannica
bân bân
català català
cc cc
charl charles
chines chinese
cinem cinemate
com com
common commons
creativ creative
cymraeg cymraeg
dansk dansk
deltion deltion
derek derek
deutsch deutsch
eesti eesti
encyclopedia encyclopedia
english english
español español
esperanto esperanto
euskara euskara
fertil fertile
field field
fiji fiji
foundat foundation
françai français
frysk frysk
føroyskt føroyskt
gaeilg gaeilge
gagana gagana
galego galego
gazett gazette
gnd gnd
gí gí
hindi hindi
hinterland hinterland
hockey hockey
hocki hockie
hooki hooky
hrvatski hrvatski
https https
ido ido
iihf iihf
inc inc
index index
indonesia indonesia
interlingu interlingue
interlingua interlingua
isbn isbn
italiano italiano
kapampangan kapampangan
kurdî kurdî
kéras kéras
ladin ladin
latina latina
latviešu latviešu
lccn lccn
lietuvių lietuvių
limburg limburgs
linesman linesman
lâm lâm
lëtzebuergesch lëtzebuergesch
machin machine
magyar magyar
make making
manchest manchester
mcgrath mcgrath
melayu melayu
mirandé mirandés
montreal montreal
ndl ndl
nederland nederlands
new new
nkc nkc
norsk norsk
nynorsk nynorsk
occitan occitan
oikonomo oikonomos
oldid oldid
org org
oʻzbekcha oʻzbekcha
page pages
pdf pdf
ph ph
php php
piemontèi piemontèis
polski polski
portuguê português
press press
qr qr
română română
rover rover
ru ru
sa sa
samoa samoa
scot scots
sh sh
shqip shqip
simpl simple
slovenčina slovenčina
slovenščina slovenščina
sport sport
srpski srpski
srpskohrvatski srpskohrvatski
suomi suomi
svenska svenska
tatarça tatarça
time times
titl title
tiếng tiếng
türkçe türkçe
univers university
universali universalis
url url
việt việt
vol vol
wayback wayback
wikimedia wikimedia
wikipedia wikipedia
winaray winaray
www www
xix xix
xvi xvi
xx xx
york york
zazaki zazaki
íslenska íslenska
čeština čeština
ślůnski ślůnski
žemaitėška žemaitėška
ελληνικά ελληνικά
κερητίζοντες κερητίζοντες
κερητεειν κερητεειν
κρρας κρρας
аванта аванта
август августа
австралийский австралийский
автоматически автоматически
авторитетный авторитетные авторитетных
авторство авторства
айсшток айсшток
академический академическая
аллан аллана
алфавит алфавиту
альпинизм альпинизм
американский американский
англ англ
английский английской
англо англо
апрель апреля
арена арена арены
артур артур
архив архивы
архивировать архивировано
архивный архивная
ассоциация ассоциация
атака атака
атаковать атакуемого атакующий
атлетика атлетика
бадминтон бадминтон
байдарка байдарках
бандаж бандаж
барельеф барельеф
баскетбол баскетбол
баскский баскская
батут батуте
башҡортса башҡортса
бейкоу бейкоу
бейсбол бейсбол бейсбола
беларуская беларуская
бельгия бельгию
бенедикт бенедикт
биатлон биатлон
библиографический библиографических
благодаря благодаря
блок блок
блокер блокер
блокировка блокировка
бобслей бобслей
боковой бокового
бокс бокс
болезненный болезненных
больший большая
большинство большинства большинство
большой большое большой велика наибольшее
бороться боролись
борт борт борта бортах бортов
бортик бортика бортиком
борьба борьба борьбе
ботинок ботинкам
брат братьям
брейгеля брейгеля
брейкинг брейкинг
бригада бригада
бродяга бродяга
бросить бросил
броский броска броски броском бросок
бросок броскам бросков
будо будо
буквальный буквально
буллит буллит
български български
бывать бывают
валерий валерий
вбрасывание вбрасывание вбрасывания
вбрасываний вбрасываний
ввести введено введены ввели
век век века веку
великобритания великобританию великобритания
велоспорт велоспорт
вернуться вернуться
версия версия
верхний верхняя
весить весь
вести ведёт
взятие взятие взятию взятия
взять взял взят взятой
вид вид вида виде видов видом виды
видеоповтора видеоповтора
викиданных викиданных
викимедиа викимедиа
википедии википедии
википедия википедия
викисклад викисклад
викискладе викискладе
викисловаре викисловаре
викисловарь викисловарь
викторий виктория
виновник виновника
виргинии виргинии
вклад вклад
включать включая
включаться включается
владеть владеет владели владеющего
влечь влечёт
вмешательство вмешательство
вмешиваться вмешивается
вне вне
внезапный внезапная
внешний внешние внешним
внимание внимание
вновь вновь
внутренний внутренней
внутрь внутрь
вод воду
водный водно водное водные
водоем водоёмах
воздух воздуха
воздухопроницаемость воздухопроницаемости
возможно возможно
возможность возможность
возможный возможны
возникнуть возникла
возраст возраст
возрастать возраставшим
войти войти
волейбол волейбол
володин володин
волшебный волшебные
воробей воробей
ворот ворот ворота воротам воротами воротах
впервые впервые
вперед вперёд
впереди впереди
впоследствии впоследствии
вратарский вратарская вратарские вратарской
вратарь вратарь вратарю вратаря вратарям вратарём
временить времени
время время
вручение вручения
всеять всей
вскоре вскоре
встреча встреч встреча
входить входит входят
выбираться выбирается
выбор выбора
выброс выброс
выглядеть выглядели
выделяться выделяются
выездной выездными выездных
выиграть выиграла
выйти вышел
выполнение выполнение выполнении выполнения
выполнять выполняет выполняющий
выполняться выполняется
высокий высоко выше
высота высота высотой
выступать выступающих
выход выхода выходе
вышибала вышибала
вязаный вязаными
газета газете
гамаша гамаши
гандбол гандбол
генерал генерал
гимнастика гимнастика
гинея гиней
глава глав
главное главного главным главными
главный главный
глима глима
год год года годах годов годом году лет
гол гол голы
голландский голландских
голова голов
голубой голубая
голуэйский голуэйский
гольф гольф
гонка гонки
горло горла
горнолыжный горнолыжный
гостев гостевыми
гостевой гостевая
граница границы
гребля гребля
грубый грубая
губа губам
губернатор губернатор
гэльский гэльский
даваться даётся
далекий дальше
дата дата
датироваться датируется
датский датская
дать дав данным
даур дауры
двое двое
двоеборье двоеборье
двойной двойное двойной
дворец дворец
де де
девять девяти
действие действия
действовать действовал действовать
декабрь декабря
день дней
деревянный деревянной
держава державы
деятель деятелем
джеймс джеймсу
дзюдо дзюдо
дискомфорт дискомфорт
дисциплинарный дисциплинарные дисциплинарный дисциплинарным
дифференцироваться дифференцироваться
длина длина длину
длинный длинные
длиться длиться длятся
добавить добавив добавьте
добивать добивать
должен должен должна должно должны
домашние домашними
домашний домашней домашняя
дополнительный дополнительного дополнительное дополнительные
допускаться допускается
допустить допустил
досрочно досрочно
доступ доступа
доступный доступен
драка драк драка драке
древнегреческий древнегреческое
древний древний
дуга дугой
европа европы
европеец европейцы
европейский европейского
египет египте
единоборство единоборств
единый един
ежегодный ежегодном
естественный естественным
жаркий жарких жаркое
желтый жёлто
жест жестов
жесткий жёсткая
жхл жхл
забитый забит
заботиться заботятся
забрасывать забрасывает забрасывающий
забросить забросить заброшенной заброшенных
зависимость зависимости
заглавный заглавная
задержка задержка
задний задний
заинтересоваться заинтересовались
заключаться заключающаяся
законодательство законодательстве
закончить законченным
закругление закругления
замахнуться замахнулся
замена замена замену замены
заменить заменили заменён
заменять заменять
заменяться заменяется
