afrikaan afrikaans
ahf ahf
alemannisch alemannisch
anthoni anthony
aragoné aragonés
archiv archive
associ associated
asturianu asturianu
athen athens
azərbaycanca azərbaycanca
bahasa bahasa
ball ball
banjar banjar
barbara barbara
boarisch boarisch
bokmål bokmål
bosanski bosanski
brezhoneg brezhoneg
canadian canadian
català català
cc cc
cite cite
coin coin coins
com com
common commons
creativ creative
cuddon cuddon
cymraeg cymraeg
dansk dansk
de de
deutsch deutsch
dictionari dictionary
didn didn
dominion dominion
eesti eesti
ehf ehf
encyclopedia encyclopedia
english english
español español
esperanto esperanto
estremeñu estremeñu
euskara euskara
feder federations
fleur fleur
foundat foundation
franca franca
françai français
frysk frysk
føroyskt føroyskt
galego galego
game games
hand hand
handbal handball
histori history
historica historica
hrvatski hrvatski
https https
håndbold håndbold
ido ido
ihf ihf
ikinyarwanda ikinyarwanda
inc inc
index index
indonesia indonesia
info info
institut institute
interlingu interlingue
interlingua interlingua
ioc ioc
isbn isbn
italiano italiano
iv iv
john john
kaszëbsczi kaszëbsczi
kiswahili kiswahili
know know
kurdî kurdî
latina latina
latviešu latviešu
lietuvių lietuvių
limburg limburgs
lingua lingua
london london
lëtzebuergesch lëtzebuergesch
macmillan macmillan
magyar magyar
malagasi malagasy
melayu melayu
member member
māori māori
nachc nachc
nederland nederlands
norsk norsk
nova nova
novial novial
nupe nupe
nynorsk nynorsk
occitan occitan
ochf ochf
offici official
oldid oldid
olymp olympic olympics
org org
oʻzbekcha oʻzbekcha
page pages
paralymp paralympic
pdf pdf
php php
plattdüütsch plattdüütsch
polski polski
portuguê português
qr qr
română română
royalmint royalmint
ru ru
rule rule rules
rumantsch rumantsch
runa runa
sa sa
sardu sardu
scahc scahc
schrodt schrodt
scot scots
seri series
shqip shqip
sicilianu sicilianu
signal signal
simi simi
simpl simple
slovenčina slovenčina
slovenščina slovenščina
sport sports
srpski srpski
srpskohrvatski srpskohrvatski
suomi suomi
svenska svenska
taqbaylit taqbaylit
team team
thing things
titl title
tiếng tiếng
tolışi tolışi
türkçe türkçe
url url
việt việt
web web
wikimedia wikimedia
wikipedia wikipedia
www www
xi xi
xix xix
xx xx
xxv xxv
zazaki zazaki
ænglisc ænglisc
íslenska íslenska
