afrikaan afrikaans
aragoné aragonés
associ associated
athlet athletics
bahasa bahasa
bokmål bokmål
bân bân
català català
cc cc
common commons
covid covid
creativ creative
cymraeg cymraeg
dansk dansk
deutsch deutsch
eesti eesti
english english
español español
esperanto esperanto
fisu fisu
foundat foundation
françai français
galego galego
game games
gbr gbr
gnd gnd
gí gí
hrvatski hrvatski
https https
ii ii
iii iii
inc inc
index index
indonesia indonesia
italiano italiano
iv iv
ix ix
kurdî kurdî
latviešu latviešu
lccn lccn
lietuvių lietuvių
lâm lâm
machin machine
magyar magyar
melayu melayu
ndl ndl
nederland nederlands
norsk norsk
oldid oldid
org org
oʻzbekcha oʻzbekcha
page pages
pdf pdf
php php
polski polski
portuguê português
pre pre
qr qr
retriev retrieved
română română
ru ru
sa sa
simpl simple
slovenčina slovenčina
slovenščina slovenščina
srpski srpski
srpskohrvatski srpskohrvatski
student student
summer summer
suomi suomi
svenska svenska
tatarça tatarça
titl title
türkçe türkçe
uie uie
univers university
universiad universiade
url url
vi vi
viaf viaf
vii vii
viii viii
wayback wayback
wikimedia wikimedia
wikipedia wikipedia
winter winter
world world
worldcat worldcat
xi xi
xii xii
xiii xiii
xiv xiv
xix xix
xv xv
xvi xvi
xvii xvii
xviii xviii
xx xx
xxi xxi
xxii xxii
xxiii xxiii
xxiv xxiv
xxix xxix
xxv xxv
xxvi xxvi
xxvii xxvii
xxviii xxviii
xxx xxx
xxxi xxxi
xxxii xxxii
xxxiii xxxiii
xxxiv xxxiv
youtub youtube
čeština čeština
ελληνικά ελληνικά
австралия австралия
австрия австрия
авторитетный авторитетные
авторство авторства
азербайджан азербайджан
азия азия
академический академическая
албания албания
алегр алегре
алегри алегри
алжир алжир
алма алма
америка америка
американский американские американское
англ англ
ангола ангола
антигуа антигуа
аравия аравия
аргентина аргентина
аргумент аргументы
армения армения
аруба аруба
архивировать архивировано
архивный архивная
ата ата
атлетика атлетика атлетике
аудио аудио
афганистан афганистан
африка африка
аэробика аэробика
багамский багамские
бадминтон бадминтон
байдарка байдарках
бангкок бангкок
бангладеш бангладеш
барбадос барбадос
барбуда барбуда
баскетбол баскетбол
бейсбол бейсбол
беларуская беларуская
беларусь беларусь
белград белград
беллуно беллуно
бельгия бельгия
бенин бенин
бермуды бермуды
биатлон биатлон
библиографический библиографических
блок блока
бокс бокс
болгария болгария
боливия боливия
больший большая
большой наибольшее
борьба борьба
босния босния
ботсвана ботсвана
бразилия бразилия
бруней бруней
будапешт будапешт
буркин буркина
бурунди бурунди
бутан бутан
буффало буффало
бухарест бухарест
български български
варшава варшава
великобритания великобритания
велоспорт велоспорт
венгрия венгрия
венесуэла венесуэла
вено вена
верде верде
версия версия
вид видам виде виды
видео видео
викиданных викиданных
викимедиа викимедиа
викиновости викиновости
википедии википедии
википедия википедия
викисклад викисклад
викискладе викискладе
виллар виллар
винсент винсент
виргинский виргинские
вклад вклад
внешний внешние
вод воду
водный водное
войти войти вошла вошли
волейбол волейбол
восемь восемь
восточный восточного
вплоть вплоть
время время
всемирный всемирные
всероссийский всероссийские
вторжение вторжения
вуз вуз
высокий высшего
вьетнам вьетнам
габон габон
гаити гаити
гайана гайана
гамбия гамбия
гана гана
гватемала гватемала
гвинея гвинея
гдр гдр
германий германия
герцеговина герцеговина
гимнастика гимнастика
год год года году лет
гольф гольф
гондурас гондурас
гонка гонки
гонконг гонконг
горнолыжный горнолыжный
город город
гражданин гражданином
гранада гранада
гребля гребля
гренадины гренадины
греция греция
грузия грузия
гуам гуам
гфр гфр
дания дания
дармштадт дармштадт
дата дата
двоеборье двоеборье
де де
действовать действовать действующим
декабрь декабря
деятельность деятельности
джибути джибути
дзюдо дзюдо
добавить добавив
доктор доктором
должен должна должны
доминиканский доминиканская
дополнительный дополнительные
дортмунд дортмунд
доступный доступен
др др
дуйсбург дуйсбург
европа европа европы
египет египет
екатеринбург екатеринбург
жан жаном
заведение заведения
заглавный заглавная
загрести загреб
закопане закопане
замбия замбия
запад запада
западный западного
запись запись
зарегистрировать зарегистрированный
зачет зачёт
заявление заявление
зеландия зеландия
зефельд зефельд
зимбабве зимбабве
зимний зимние зимним зимних зимняя
знак знак
ивуар ивуар
игра играми игры
избранный избранные
измир измир
израиль израиль
именование именования
иначе иначе
индий индия
индонезия индонезия
инсбрук инсбрук
инструмент инструменты
информация информация
иордания иордания
ирак ирак
иран иран
ирландия ирландия
исландия исландия
испания испания
использование использования
история историю история
источник источник источники источников
исчезнуть исчезнувшие
италия италия
итог итога итогов
йемен йемен
кабо кабо
каждый каждые
казань казань
казахстан казахстан
камбоджа камбоджа
камерун камерун
канада канада
каноэ каноэ
карло карло
каролина каролина
каталанский каталанская
каталог каталогах
катание катание
катар катар
категория категории
кванджу кванджу
кения кения
керлинг кёрлинг
кипр кипр
китай китай
китайский китайская китайский
кндр кндр
коб кобе
код код
кодекс кодекс
количество количество
колумбия колумбия
коморы коморы
комплект комплектов
конго конго
конфедерация конфедерации конфедерация
конфиденциальность конфиденциальности
конькобежный конькобежный
копия копия
корея корея
короткий короткий
коста коста
кот кот
который которую которых
кпм кпм
красноярск красноярск
кругосвет кругосвет
куб куба
кувейт кувейт
кук кука куки
кыргызстан кыргызстан
кыргызча кыргызча
ланка ланка
лаос лаос
латвия латвия
легкий лёгкая лёгкой
лейк лейк
леона леоне
лесото лесото
летний летние летний летним летних летняя
либо либо
ливан ливан
ливиньо ливиньо
ливия ливия
литва литва
литовский литовская
лихтенштейн лихтенштейн
лицензия лицензии
лука лука
лыжа лыжах
лыжный лыжное лыжные
люксембург люксембург
люцерн люцерн
мадагаскар мадагаскар
макао макао
македония македония
македонский македонски
малави малави
малайзия малайзия
мали мали
мальорка мальорка
мальта мальта
марианский марианские
марино марино
марокко марокко
маршаллов маршалловы
материал материал
мая мая
медаль медалей
медальный медальный
медиафайлы медиафайлы
международный международная международной международные международный
мексика мексика
мерано мерано
место места
мехико мехико
микронезия микронезии
мир мира
мкс мкс
млин млин
мобильный мобильная
мозамбик мозамбик
молдова молдова
молодая молодых
молодой моложе
момент момент
монако монако
монгол монгол
монголия монголия
монте монте
москва москва москве
мочь могут можете
муджу муджу
мяч мячом
навигация навигации навигация
название название
намибия намибия
настольный настольный
национальный национальные
начало начала
начаться началась
неаполь неаполь
неделя недели неделя
независимый независимые
некоммерческий некоммерческой
непал непал
несмотря несмотря
нигер нигер
нигерия нигерия
нидерланды нидерланды
никарагуа никарагуа
новый новая новые
норвегия норвегия
норвежский норвежская
оаэ оаэ
обращение обращения
обсуждение обсуждение обсуждения
общий общий
океания океания
окончить окончить
олимпиада олимпиада
оман оман
описание описание
организация организацией организации
организовать организована организованными
ориентирование ориентирование
основывать основывайте
осрблье осрблье
острава острава
остров острова
ответственность ответственности
отдельный отдельных
отказ отказ
отменить отменена
отредактировать отредактирована отредактировать
