afrikaan afrikaans
alemannisch alemannisch
associ associated
asturianu asturianu
avañ avañe
azərbaycanca azərbaycanca
bahasa bahasa
bikol bikol
bokmål bokmål
bosanski bosanski
bân bân
català català
cc cc
central central
common commons
covid covid
creativ creative
dansk dansk
deutsch deutsch
dĕ dĕ
eesti eesti
english english
español español
esperanto esperanto
euskara euskara
foundat foundation
françai français
frysk frysk
føroyskt føroyskt
galego galego
gí gí
hak hak
hrvatski hrvatski
https https
ii ii
iii iii
inc inc
index index
indonesia indonesia
italiano italiano
iv iv
ix ix
jawa jawa
kâ kâ
latina latina
latviešu latviešu
lietuvių lietuvių
lâm lâm
magyar magyar
malti malti
melayu melayu
mìng mìng
nederland nederlands
ng ng
ngî ngî
ngṳ ngṳ
norsk norsk
nynorsk nynorsk
oldid oldid
org org
oʻzbekcha oʻzbekcha
page pages
papiamentu papiamentu
pdf pdf
php php
polski polski
portuguê português
qr qr
română română
ru ru
sa sa
scot scots
shqip shqip
simpl simple
slovenčina slovenčina
slovenščina slovenščina
srpski srpski
srpskohrvatski srpskohrvatski
suomi suomi
svenska svenska
tagalog tagalog
titl title
tiếng tiếng
türkçe türkçe
url url
vi vi
vii vii
viii viii
việt việt
wikimedia wikimedia
wikipedia wikipedia
xi xi
xii xii
xiii xiii
xiv xiv
xix xix
xv xv
xvi xvi
xvii xvii
xviii xviii
xx xx
xxi xxi
xxii xxii
xxiii xxiii
xxiv xxiv
xxix xxix
xxv xxv
xxvi xxvi
xxvii xxvii
xxviii xxviii
xxx xxx
xxxi xxxi
xxxii xxxii
xxxiii xxxiii
xxxiv xxxiv
xxxv xxxv
xxxvi xxxvi
íslenska íslenska
čeština čeština
ελληνικά ελληνικά
август августа
австралия австралия
авторство авторства
академический академическая
альбервиль альбервиль
альп альпы
ампеццо ампеццо
амстердам амстердам
анджелес анджелес
антверпен антверпен
античный античные
апрель апреля
архив архив
атлант атланта
атлетика атлетика
афганистан афганистана
афина афины
африканский африканских
бадминтон бадминтон
байдарка байдарках
барон барона
барселона барселона
баскетбол баскетбол
батут батуте
башҡортса башҡортса
бейсбол бейсбол
беларуская беларуская
бельгия бельгия
берлин берлин
бионди бионди
биргит биргит
блок блока
бойкот бойкот
бойкотировать бойкотировало
бокс бокс
болт болт
большинство большинство
большой наибольшим
борьба борьба
бразилия бразилия
брисбен брисбен
български български
ванкувер ванкувер
ввод вводом
великобритания великобритания
велоспорт велоспорт
версия версия
верт верт
вид вид видам виды
викиданных викиданных
викимедиа викимедиа
викиновости викиновости
википедии википедии
википедия википедия
викисклад викисклад
вклад вклад
включать включая
включить включены
внеочередной внеочередные
вод воду
водный водное
возглавлять возглавлявшие
возрождение возрождение
война войны
войско войск
войти войти
волейбол волейбол
восемь восьми
всесезонным всесезонным
второй второй
выбор выборы
выиграть выиграл
вэлли вэлли
гандбол гандбол
гармиш гармиш
гдр гдр
германий германия
гимнастика гимнастика
год год года годах году годы
гольф гольф
город город
государство государств
гребля гребля
гренобль гренобль
греция греция
гры гры
движение движения
де де
действовать действовать
декабрь декабря
дженни дженни
дзюдо дзюдо
дополнительный дополнительные
доступный доступен
дрессел дрессел
жанейро жанейро
заглавный заглавная
закрытие закрытие
запись запись
запланировать запланированные
зарегистрировать зарегистрированный
затем затем
зачет зачёт зачёта зачёте
заявление заявление
зеландия зеландия
