afrikaan afrikaans
associ associated
ayisyen ayisyen
azərbaycanca azərbaycanca
bahasa bahasa
bnf bnf
bokmål bokmål
britannica britannica
bull bull
català català
cc cc
cliff cliff
common commons
creativ creative
cymraeg cymraeg
dansk dansk
deutsch deutsch
dive diving
eesti eesti
english english
español español
esperanto esperanto
euskara euskara
fina fina
foundat foundation
françai français
galego galego
gmbh gmbh
gnd gnd
high high
hrvatski hrvatski
https https
ido ido
inc inc
index index
indonesia indonesia
interlingua interlingua
italiano italiano
iv iv
jawa jawa
kreyòl kreyòl
kurdî kurdî
latviešu latviešu
lccn lccn
lietuvių lietuvių
magyar magyar
melayu melayu
ndl ndl
nederland nederlands
nedersaksi nedersaksies
nkc nkc
norsk norsk
nynorsk nynorsk
occitan occitan
oldid oldid
org org
oʻzbekcha oʻzbekcha
page pages
pdf pdf
ph ph
php php
polski polski
portuguê português
qr qr
red red
română română
ru ru
sa sa
sh sh
shqip shqip
simpl simple
slovenčina slovenčina
slovenščina slovenščina
srpski srpski
srpskohrvatski srpskohrvatski
suomi suomi
svenska svenska
tatarça tatarça
titl title
tiếng tiếng
tolışi tolışi
treccani treccani
türkçe türkçe
url url
uyghurch uyghurche
việt việt
wikimedia wikimedia
wikipedia wikipedia
íslenska íslenska
čeština čeština
ślůnski ślůnski
ελληνικά ελληνικά
август августа
авеньо авеньо
австралийский австралийский
авторство авторства
айсшток айсшток
академический академическая
акробатический акробатических
алфавит алфавиту
альпинизм альпинизм
американский американский
арбитр арбитров
арвид арвид
архивировать архивировано
атлетика атлетика
бадминтон бадминтон
байдарка байдарках
бакал бакал
баскетбол баскетбол
баскский баскская
бассейн бассейна
батут батуте
башҡортса башҡортса
бейсбол бейсбол
беларуская беларуская
бессменно бессменно
биатлон биатлон
библиографический библиографических
библиотека библиотека
бобслей бобслей
бокс бокс
больший большая
бортик бортике
борьба борьба
брейкинг брейкинг
бронзовый бронзовый
брызги брызг
будо будо
български български
бывать бывают
вайцеховская вайцеховская
вариант вариантов
велоспорт велоспорт
версия версии версия
вертикальный вертикальным
вид вида видам видов виды
видео видео
викиданных викиданных
викимедиа викимедиа
википедии википедии
википедия википедия
викисклад викисклад
викискладе викискладе
винт винт винтами винты
вклад вклад
включать включает включать включая
включить включены
вместе вместе
внешний внешние
внимание внимание
вод воде воду
водный водно водное водные водным водных
воды воды
войти войти
вокруг вокруг
волейбол волейбол
впервые впервые
вращение вращением вращения
время время
всеять всей
вход вход входа
входить входят
выполнение выполнения
выполнить выполнен выполнить
выполнять выполняемый выполняли выполняют выполняющая выполняющий
выполняться выполняется
выпрямить выпрямлены
высота высот высотах высоте высоты
выставлять выставляет
выступать выступает
вытянутый вытянутыми
выход выход
вышка вышек вышка вышки
выявлять выявляют
галерея галерея
гандбол гандбол
гимнастика гимнастика
гимнастический гимнастический
глима глима
го го
год год года году
гольф гольф
гонка гонки
горнолыжный горнолыжный
градус градусов
гребля гребля
грег грег
группа групп
группировка группировка группировке
гэльский гэльский
дайвинг дайвинг дайвинга дайвинге дайвингу
дата дата
датский датская
двое двое
двоеборье двоеборье
де де
дейли дейли
действие действий
действовать действовать
декабрь декабря
дзюдо дзюдо
диапазон диапазоне
дибиаси дибиаси
дисциплина дисциплины
длина длина длине длиной
дмитрий дмитрий
долгий долгое
должен должен должна
дополнительно дополнительно
дополнительный дополнительное дополнительные
доска доска
достаточно достаточно
доступный доступен
др др
ду ду
дюк дюк
европа европы
единственный единственная единственный
елена елена
естественный естественных
женщина женщин женщины
жим жим
жолинь жолинь
заглавный заглавная
задний задняя
закрепить закреплён
