afrikaan afrikaans
agostini agostini
associ associated
asturianu asturianu
ayisyen ayisyen
azərbaycanca azərbaycanca
badminton badminton
bahasa bahasa
bali bali
basa basa
batak batak
betawi betawi
bikol bikol
bne bne
bokmål bokmål
bosanski bosanski
brezhoneg brezhoneg
britannica britannica
bwf bwf
bân bân
català català
cc cc
central central
cite cite
common commons
creativ creative
cymraeg cymraeg
dansk dansk
de de
dello dello
deutsch deutsch
eesti eesti
enciclopedia enciclopedia
english english
español español
esperanto esperanto
europ europe
euskara euskara
feder federation
fiji fiji
foundat foundation
françai français
frysk frysk
føroyskt føroyskt
gaeilg gaeilge
gaelg gaelg
gagana gagana
galego galego
gnd gnd
gàidhlig gàidhlig
gí gí
hak hak
hindi hindi
hrvatski hrvatski
https https
iban iban
ido ido
inc inc
index index
indonesia indonesia
interlingua interlingua
italiano italiano
jaku jaku
jawa jawa
jbf jbf
kreyòl kreyòl
kurdî kurdî
kâ kâ
latina latina
latviešu latviešu
lccn lccn
lietuvių lietuvių
lâm lâm
lëtzebuergesch lëtzebuergesch
magyar magyar
mandail mandailing
melayu melayu
nanoray nanoray
ndl ndl
nederland nederlands
ngî ngî
night nights
nkc nkc
norsk norsk
nupe nupe
nynorsk nynorsk
occitan occitan
oldid oldid
open open
org org
oʻzbekcha oʻzbekcha
page pages
papiamentu papiamentu
pdf pdf
pear pearly
ph ph
php php
picard picard
polski polski
portuguê português
pwn pwn
qaraqalpaqsha qaraqalpaqsha
qr qr
raj raj
rankireddi rankireddy
română română
ru ru
russian russian
sa sa
samoa samoa
satwiksai satwiksai
scot scots
sh sh
shqip shqip
simpl simple
slovenčina slovenčina
slovenščina slovenščina
soomaaliga soomaaliga
speed speed
sport sport
srpski srpski
srpskohrvatski srpskohrvatski
sunda sunda
suomi suomi
svenska svenska
tagalog tagalog
tan tan
tatarça tatarça
th th
titl title
tiếng tiếng
toba toba
tolışi tolışi
treccani treccani
türkçe türkçe
universali universalis
url url
uyghurch uyghurche
việt việt
web web
white white
wikimedia wikimedia
wikipedia wikipedia
world world
xix xix
xx xx
yonex yonex
íslenska íslenska
čeština čeština
ελληνικά ελληνικά
абсолютный абсолютный абсолютным
август августа августе
австралийский австралийский
автор автором
авторство авторства
азиатский азиатские
айсшток айсшток
академический академическая
актуально актуально
алфавит алфавиту
альпинизм альпинизм
алюминий алюминия
американский американский
англ англ
английский английские
англичанин англичане
англия англии
арена арене
арсенал арсеналом
архивировать архивировано
ассоциация ассоциация
атаковать атакующей
атлетика атлетика
бадминто бадминто
бадминтон бадминтон бадминтона бадминтоне бадминтону
бадминтонист бадминтонисты
байдарка байдарках
баланс баланс
банглапедия банглапедия
баскетбол баскетбол
баскский баскская
батут батуте
башҡортса башҡортса
безупречный безупречной
бейсбол бейсбол
беларуская беларуская
белые белые
белый белой
берет берёт
биатлон биатлон
библиографический библиографических
бить бить бьющего
благодаря благодаря
бобслей бобслей
бокс бокс
больший большая
большинство большинство
большой наибольших
борьба борьба
бофорт бофорт
брейкинг брейкинг
будо будо
български български
быстро быстро
вариация вариации
введеных введеных
ввести введены
вдвое вдвое
век веке
великобритания великобритания
велоспорт велоспорт
версия версия
вестись ведётся велась вестись
вид вид видах видов виды
визуально визуально
викиданных викиданных
викимедиа викимедиа
викиновости викиновости
википедии википедии
википедия википедия
викисклад викисклад
викисловаре викисловаре
викисловарь викисловарь
вклад вклад
вклеиваться вклеиваются
владелец владелец
владивосток владивосток
влиять влияющая влияющих
внешний внешние
вниз вниз
внутренний внутренней
внутри внутри
вод воду
водный водно водное водные
возможный возможна возможны
войти войти вошёл
волан волан волана воланов воланом волану воланы
волейбол волейбол
время время
всемирный всемирная всемирной
встреча встречах встрече
встроить встроенных
второй второй
входить входит
выбирать выбирала
выбираться выбирается
выдаваться выдающегося
выдерживать выдерживает
вызвать вызвать
выиграть выиграв выиграла выиграют
выигрывать выигрывает
выигрыш выигрыше
выполняться выполняются
высота высота высоте
выступление выступление
выявиться выявились
гандбол гандбол
гатчина гатчина
германий германия
герцог герцог
гимнастика гимнастика
главный главный
глима глима
год года годов году лет
голова голова
головка головки головкой
гольф гольф
гонка гонки
горнолыжный горнолыжный
градуируются градуируются
граммовый граммов
гран гран
гребля гребля
грип грип
группа группы
гусиный гусиных
гэльский гэльский
дания дания
дань дань
дата дата
датский датская
двигаться двигаться
двое двоих
двоеборье двоеборье
двукратный двукратный
де де
действие действие
действовать действовать
дерево дерева
десятка десятку
дзюдо дзюдо
диагональ диагонали
диаметр диаметр
длина длину
длительность длительности
длиться длился
добиться добились
довольный довольно
дозировать дозированное
долговечность долговечность
должен должен должна
доминировать доминировали доминируют доминирующее
дополнительный дополнительные
достигать достигает
достижение достижения
достоинство достоинство
доступный доступен
доходить доходить
друг друг другом
дюжина дюжин
европа европы
европейский европейский европейских европейской
желтый жёлтой
женский женском
женщина женщин женщина
жесткий жёсткое
жесткость жёсткость
зависимость зависимости
завоевать завоевали
завоевывать завоёвывают
заглавный заглавная
задний задней
зажим зажимами
закрепление закрепление
заметный заметного
запись запись
запретить запретила запрещено запрещённая
зарегистрировать зарегистрированный
засчитать засчитан
затем затем
затягиваться затягивалась
зафиксировать зафиксирован
зачастую зачастую
заявление заявление
земля земли
зимний зимние
знак знак
значительный значительными
золотой золотая золотой золотых
зона зона зону зоны
зрелищность зрелищности зрелищность
игра игр игра играх игре игрой игры
игровой игровая игрового игровое игровые
игрок игрок игрока игрокам игроки игроков игроком
избранный избранные
известный известный
изгиб изгиб
изготавливаться изготавливается изготавливались изготавливаются
издатель издатель
изобрести изобретённой
иметься имелось
инвентарь инвентарь
индивидуальный индивидуальные
индий индии
индийский индийской
индонезия индонезия
инерция инерции
инструмент инструменты
интенсивный интенсивных
интервал интервале
исключительно исключительно
исключить исключённые
испания испания
исполнение исполнения
использование использования
использовать использовано используют
использоваться используется
история история
источник источник
июль июля
каждый каждой каждом
канадский канадская
канат каната
каноэ каноэ
карат карате
каталанский каталанская
каталог каталогах
катание катание
категория категории категорий категория
качественный качественная
квадах квадах
керлинг кёрлинг
километр километров км
китаец китайцев китайцы
китай китай
китайский китайская китайские
класс класса
книга книг
код код
кодекс кодекс
кожа кожей
количество количество количеству
команда команда команды
командный командное командный
композиционный композиционных
конкретный конкретная
конный конный
конструктивный конструктивных
контакт контакт
контроль контроля
конфиденциальность конфиденциальности
конькобежный конькобежный
корейский корейской
корея корея
короткий короткий
корт корта
корфбол корфбол
коснуться коснулся
который которое которой котором которому которую которые
краска краской
крикет крикет
крокет крокет
кругосвет кругосвет
крупный крупнейшее
кручение кручение
крученый крученая
кубок кубка кубок
кук куки
культура культуры
кыргызча кыргызча
лабораторный лабораторных
лайковый лайковой
левый левой левую
легкий лёгкая
лента лентой
летний летние летних
либо либо
линия линией линии линия
линь линь
лицензия лицензии
лука лука
лыжа лыжах лыжи
лыжный лыжное лыжные
любитель любителей
любительский любительских
любой любой
лякросс лякросс
македонский македонски
малазиец малазиец
манера манерой
марка марка
маркироваться маркироваться
масса масса массой
материал материал материалов
матч матч матчей
мая мая
медаль медалей
международный международная международные международный международных
менее менее
меняться меняется
место места месте
метр метра метров
микроволокон микроволокон
миллиметр мм
минспорттуризма минспорттуризма
минута минуты
мир мира мире
мировой мирового мировой мировых
мисбун мисбун
многократный многократный
мобильный мобильная
модель модели
модельный модельных
момент момент
монгол монгол
москва москва
моторный моторный
мочь могут
мужчина мужчин мужчина
мяч мячом
набрать набравшая
навигация навигации навигация
награда наград
нагрузка нагрузки нагрузку
называть называемый
наклейка наклейками
наличие наличию
намотка намотки
наноситься наноситься наносятся
наоборот наоборот
направить направлена
например например
наряд наряду
настольный настольный
настоящее настоящее
наступать наступать
натуральный натуральные натуральных
натягиваться натягиваются
натяжение натяжение натяжения
натяжка натяжка натяжки натяжку
натянутый натянутых
находиться находится находиться находясь находящихся
национальный национальная
начало начала начале начало
начальный начальный
начинать начинающим
начисление начисление
начислять начисляемых
начисляться начислялось начисляются
негодность негодность
недостаток недостатки
независимо независимо
независимый независимый
некоммерческий некоммерческой
некоторые некоторых
неотъемлемый неотъемлемой
непредсказуемый непредсказуемую
нередко нередко
несколько нескольких несколько
нечетный нечётного нечётное нечётной
нидерланды нидерланды
нитка нитками нитки
новичок новичков
новость новости
новый новые новый
нога ноги
норвежский норвежская
ночь ночи
оба обеих
обвязываться обвязываются
обеспечение обеспечения
обеспечивать обеспечивающем
обновить обновлен
обод обода ободе ободом
ободок ободку
обозначение обозначения
оболочка оболочки
оборонительный оборонительным
образной образного
обращение обращения
обсуждение обсуждение
обтянуть обтянутой
общий общим
овладение овладения
ограничивать ограничивают ограничивающие
ограничить ограничена
одежда одеждой
одиночный одиночной одиночном
однако однако
одновременно одновременно
ои ои
около около
окружность окружности
олимпийский олимпийские олимпийский олимпийских олимпийского
онлайн онлайн
описание описание
оплетка оплётки
опор опор
опубликовать опубликовала
организация организации
основа основе
основное основное основным
основной основная
оставаться оставался
отверстие отверстия
ответственность ответственности
отдельный отдельных
отказ отказ
отличаться отличаются
отличие отличие
отличить отличить
относиться относятся
отредактировать отредактирована
отрывать отрывать
офицер офицеры
официальный официальных
очередность очерёдности
очки очки очков
очко очка очко
ошибка ошибке ошибки ошибок
падать падает
пар пары
парной парной парном
партия партий партию
парусный парусный
пелота пелота
первенство первенствах
первоначально первоначально
первоначальный первоначальный
первый первой первую первый
перейти перейти
перекидывать перекидывают
перенести перенесена перенёс
переплетаться переплетаются
переплетение переплетение
перетягивание перетягивание
переходить переходила
перо перьев перья перьям перьями
персональный персональные
перьевой перьевого перьевой перьевые перьевых
печать печати печать
плавание плавание
планерный планёрный
планет планете
пластиковый пластиковой пластиковые пластиковый пластиковых
площадка площадка площадке площадки площадку
победитель победителем победитель
победить победили
поблизости поблизости
поведение поведения
повышение повышения
подавать подавал подавать подающая подающего подающий подающим
подача подач подача подаче подачи подачу
подразделяться подразделяются
подробный подробнее
пожертвовать пожертвовать
позволить позволено
поиск поиск поиску
пока пока
показательный показательные
пол пола поле
поле поля
полет полёта
полетный полётные
политик политика
поло поло
положение положение
поломка поломку
полоска полоской
полтора полутора
полуфиналист полуфиналисты
получать получают
получить получить
пом пом
помощь помощи
попасть попал
пора пор
порядок порядка
послать послал
последний последний
последовательно последовательно
последовательный последовательную
поставить поставлен
постоянный постоянная
потеря потере
потолок потолка
поэтому поэтому
правило правилам правилами
править правил правила правило править
правка правки
правый правой правую
практический практически
превосходство превосходства
превышать превышать
предел пределы
предмет предметов
предназначить предназначенный предназначенных
представиться представились
представлять представляющие
прежний прежним
престижность престижностью
привезти привезли
придавать придавал
прием приёма
приземлить приземлить
призер призёр
призовой призовой призовые призовым
прикрепить прикреплённой
применение применение применением
применяться применяются
примерный примерно
примечание примечания
принадлежность принадлежности
принимать принимать принимающей
принцип принцип
приходить приходили
пробегать пробегает
пробковый пробковой
провисание провисание
проводить проводить
проводиться проводится
программа программу
продолжать продолжает
продолжаться продолжается
проект проектах
проиграть проиграл
произвести произвела
производиться производилась производится
производство производстве
проклеиваться проклеиваются
пропускаться пропускается пропускаются
просмотр просмотры
противник противника
противоположный противоположных
прототип прототипом
профессиональный профессионального профессиональные профессиональных
проходить проходит
процесс процесс
прыжок прыжки
прямоугольный прямоугольной
пуна пуна
пункт пункт
пятиборье пятиборье
пять пяти
равный равного
разбалтывание разбалтывание
разделить разделённой
разделять разделяет
различаться различающейся различающихся
различный различной различные различных
размер размером
разработчик разработчики
разряд разряде
ракетка ракетка ракетки ракеткой ракетку ракеток
рамка рамка рамки
располагаться располагаются
расположение расположение
расположить расположенное
расстановка расстановка
расстояние расстоянии
раунд раунда
реальный реальной
революция революцию
регби регби
регламент регламент регламенте
результат результатам результаты
рейтинговый рейтинговых
рекомендовать рекомендуют
рекорд рекорд рекордом
республика республика республики
ресурс ресурсы
