afrikaan afrikaans
allez allez
amberg amberger
art art
associ associated
asturianu asturianu
ayisyen ayisyen
azərbaycanca azərbaycanca
bahasa bahasa
banjar banjar
bokmål bokmål
bosanski bosanski
brezhoneg brezhoneg
britannica britannica
burbank burbank
bân bân
català català
cc cc
christoph christoph
common commons
compter compter
creativ creative
cymraeg cymraeg
dansk dansk
deutsch deutsch
droit droit
eesti eesti
en en
english english
español español
esperanto esperanto
euskara euskara
evangelista evangelista
fechten fechten
fenc fencing
fight fight
fiji fiji
foundat foundation
françai français
frysk frysk
gaeilg gaeilge
galego galego
gard garde
gauch gauche
gnd gnd
gí gí
halt halte
hindi hindi
histori history
hrvatski hrvatski
https https
ido ido
inc inc
index index
indianapoli indianapolis
indonesia indonesia
interlingua interlingua
isbn isbn
italiano italiano
jawa jawa
johann johann
kreyòl kreyòl
kurdî kurdî
latina latina
latviešu latviešu
lccn lccn
lietuvių lietuvių
lâm lâm
lëtzebuergesch lëtzebuergesch
magyar magyar
malti malti
master masters
media media
melayu melayu
minangkabau minangkabau
multi multi
ndl ndl
nederland nederlands
nick nick
nkc nkc
norsk norsk
nynorsk nynorsk
occitan occitan
oldid oldid
org org
oʻzbekcha oʻzbekcha
page pages
papiamentu papiamentu
pas pas
pdf pdf
ph ph
php php
polski polski
portuguê português
press press
prêt prêt
qr qr
română română
ru ru
sa sa
scienc science
secret secret
sh sh
simpl simple
slovenčina slovenčina
slovenščina slovenščina
srpski srpski
srpskohrvatski srpskohrvatski
sunda sunda
suomi suomi
svenska svenska
sword sword
tagalog tagalog
tatarça tatarça
th th
time time
titl title
tiếng tiếng
tolışi tolışi
türkçe türkçe
universali universalis
url url
việt việt
vous vous
vèneto vèneto
võro võro
wheelchair wheelchair
wikimedia wikimedia
wikipedia wikipedia
winaray winaray
xiii xiii
xv xv
xvi xvi
xvii xvii
xviii xviii
êtes êtes
íslenska íslenska
čeština čeština
ελληνικά ελληνικά
австралийский австралийский
автор автор
авторство авторства
айсшток айсшток
академический академическая
активный активного
алл алле
алфавит алфавиту
альпинизм альпинизм
альт альт
американец американцем
американский американский
